Accounts Officer - Full Time,Admintax Co Ltd,"Port Louis, Port Louis","Aug 8, 2024",Negotiable
Accounts Clerk,Magellan Hub Ltd,"Ebene, Port Louis","Aug 20, 2024",Not disclosed
Personnal Assistant,LOASIS,"Floréal, Plaines Wilhems","Aug 20, 2024","Rs 75,001 - Rs 100,000"
Project Finance / Financial Modelling - Assistant Manager / Manager,Consulting firm,"Beau Plan, Pamplemousses","Aug 14, 2024",Negotiable
Messenger Driver & Office Support,Toukan Corporate Services Limited,"Vacoas-Phoenix, Plaines Wilhems","Aug 14, 2024",Negotiable
Accounts Officer,UPL Mauritius Limited,"Port Louis, Port Louis","Aug 9, 2024","Rs 12,501 - Rs 25,000"
Accounts Clerk H/F,ATEC MAURITIUS LTD,"Port - Louis, Port Louis","Aug 7, 2024",Not disclosed
Senior Client Administrator/ Client Administrator,CrossInvest Global Management Services Ltd,"Petit Raffray, Rivière du Rempart","Jul 31, 2024",Negotiable
Accounts Clerk,MRC Wire Products Ltd,"Port Louis, Port Louis","Jul 29, 2024",Negotiable
Accounts Officer,ABZ Global Solutions Ltd,"Grand Baie, Rivière du Rempart","Jul 26, 2024",Negotiable
Accounts Receivable Assistant - French/English/German,CELESTE TELECOM MAURITIUS,"Hermitage Côte d'Or, Plaines Wilhems","Jul 18, 2024",Not disclosed
Team Leader Pôle Finance,CELESTE TELECOM MAURITIUS,Hermitage Côte d'Or,"Jul 18, 2024",Not disclosed
Accounts Clerk (Fournisseurs),CELESTE TELECOM MAURITIUS,"Côte d'Or, Hermitage, Moka","Jul 18, 2024",Not disclosed
Assistant Accountant / Accountant,Emcar Ltd,"Port Louis, Port Louis","Jul 17, 2024",Not disclosed
We Are Looking For An Accountant To Work At Grand Bay,BluAve Ltd,"Grand Bay, Rivière du Rempart","Jul 15, 2024","Rs 25,001 - Rs 50,000"
Accounts Officer,M5 Capital,"Quatre Bornes, Plaines Wilhems","Jul 12, 2024",Not disclosed
Accounting Officer,THALI DELIGHTS LTD,PORT LOUIS,"Jul 4, 2024",Negotiable
Assistant(E) Comptable,ATEC MAURITIUS LTD,"Port - Louis, Port Louis","Jun 25, 2024",Not disclosed
