Accounts Officer - Full Time,Admintax Co Ltd,"Port Louis, Port Louis","Aug 8, 2024",Negotiable
Administrative Assistant,R-MAD LTD,"Pereybere, Rivière du Rempart","Aug 27, 2024",Negotiable
Concierge,AKGM Contracting LTD,"Quatre Bornes, Plaines Wilhems","Aug 27, 2024",Negotiable
Sales Admin,GM Punjabi,"St Paul, Phoenix, Plaines Wilhems","Aug 24, 2024","Rs 12,501 - Rs 25,000"
Debtors' Clerk,GM Punjabi,"St Paul, Phoenix, Plaines Wilhems","Aug 24, 2024","Rs 12,501 - Rs 25,000"
Word Processing Operator - Distributive,IBRAHIM GOLAUP,Port Louis,"Aug 16, 2024",Not disclosed
Administrative Executive,Rogan & Associates Co Ltd,ROSE HILL,"Aug 12, 2024","Rs 12,501 - Rs 25,000"
Administrative Assistant,Flux ltd,Port Louis,"Aug 9, 2024",Negotiable
Administrative Officer,Wisdom Management Consultancy Ltd,"Vacoas, Plaines Wilhems","Aug 8, 2024",Negotiable
Accounts Clerk,MRC Wire Products Ltd,"Port Louis, Port Louis","Jul 29, 2024",Negotiable
Administrative Clerk,Cascadelle Distribution & Cie Ltee,"Phoenix, Plaines Wilhems","Jul 28, 2024","Rs 12,501 - Rs 25,000"
Operations Assistant,FTM(Mauritius) Ltd,Pailles,"Jul 24, 2024","Rs 12,501 - Rs 25,000"
Technicien De Paie,Externalisation RH Ltd,"Phoenix, Plaines Wilhems","Jul 11, 2024","Rs 25,001 - Rs 50,000"
Assistant(E) Rh,Recruit Me Limited,"GRAND BAIE, Rivière du Rempart","Jul 10, 2024","Rs 12,501 - Rs 25,000"
Trainee/Intern,Anonymous,"Rose-Hill, Plaines Wilhems","Jul 9, 2024",Not disclosed
Administrative Assistant,IBRAHIM GOLAUP,"Port Louis, Port Louis","Jul 8, 2024","Rs 12,501 - Rs 25,000"
Administrative Officer,Wisdom Management Consultancy Ltd,Vacoas,"Jul 1, 2024",Negotiable
Administrative Officer,FTM(Mauritius) Ltd,Pailles,"Jun 27, 2024",Not disclosed
