Sales (Shop) Representative,Yas Luxury Ltd,"Mapou, Pamplemousses","Aug 28, 2024","Rs 25,001 - Rs 50,000"
Digital Marketer (Full-Time),R-MAD LTD,"Port Louis, Port Louis","Aug 27, 2024",Not disclosed
Sales Admin (Full-Time),R-MAD LTD,"Port Louis, Port Louis","Aug 27, 2024",Not disclosed
Graphic Designer/Marketing Assistant,Lovely Home,"Belle Rose, Quatre Bornes, Plaines Wilhems","Aug 15, 2024","Rs 12,501 - Rs 25,000"
Showroom Supervisor,Lovely Home,"Belle Rose, Quatre Bornes, Plaines Wilhems","Aug 15, 2024","Rs 25,001 - Rs 50,000"
Creative Marketing Intern For Social Media Marketing And More!,WebCare Agency,"Ebéne, Black River","Aug 15, 2024",Not disclosed
Telesales Agent,Rogan & Associates Co Ltd,"ROSE HILL, Moka","Aug 12, 2024","Rs 25,001 - Rs 50,000"
Outdoor Sales Consultant,Lovely Home,"Belle rose, Plaines Wilhems","Aug 12, 2024","Rs 25,001 - Rs 50,000"
Operations Manager,Lovely Home,"Belle rose, Plaines Wilhems","Aug 12, 2024","Rs 50,001 - Rs 75,000"
Commercial Executive,ABZ Global Solutions Ltd,"Grand Baie, Rivière du Rempart","Jul 26, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Sales Representative,Wisdom Management Consultancy Ltd,Vacoas,"Jul 25, 2024",Negotiable
Telesales Agent,Rogan & Associates Co Ltd,"ROSE HILL, Moka","Jul 16, 2024","Rs 25,001 - Rs 50,000"
Sales Representative,Ipedis,"Quatre-bornes, Plaines Wilhems","Jul 11, 2024",Not disclosed
Sales & Marketing,Hotel Coral Azur Beach Resort,"Mont Choisy, Pamplemousses","Jul 2, 2024",Negotiable
We Are Looking For Sales Representatives To Work In A Luxury Jewellery Shop At Tribeca Mall,BluAve Ltd,"Ebene, Plaines Wilhems","Jun 27, 2024","Rs 12,501 - Rs 25,000"
We Are Looking For A Full Time Or Part Time Jewellery Advisor To Work At Tribeca Mall,BluAve Ltd,Curepipe,"Jun 25, 2024","Rs 12,501 - Rs 25,000"
"We Are Looking For Full Time & Part Time Beauty Consultants To Work At Tribeca, Bagatelle Or Cascavelle Mall",BluAve Ltd,"Curepipe, Plaines Wilhems","Jun 25, 2024","Rs 12,501 - Rs 25,000"
Marketing Assistant,FERME MARINE DE MAHEBOURG,"PORT-LOUIS, Grand Port","Jun 19, 2024","Rs 25,001 - Rs 50,000"
