Accounts Officer - Full Time,Admintax Co Ltd,"Port Louis, Port Louis","Aug 8, 2024",Negotiable
Technicien Support Client Telecom,Recruit Me Limited,"Cote d’Or, Moka","Jul 15, 2024","Rs 25,001 - Rs 50,000"
Valet/ Chambermaid & Laundry,Baystone Boutique Hotel & Spa,"Pointe aux anonniers, Pamplemousses","Aug 28, 2024",Not disclosed
Front Office Agent,Baystone Boutique Hotel & Spa,"Pointe aux anonniers, Pamplemousses","Aug 28, 2024",Negotiable
Office Receptionist,Eiffel Property,"Cascavelle, Black River","Aug 28, 2024","Rs 12,501 - Rs 25,000"
Sales (Shop) Representative,Yas Luxury Ltd,"Mapou, Pamplemousses","Aug 28, 2024","Rs 25,001 - Rs 50,000"
It Project Manager,R-MAD LTD,"Pereybere, Rivière du Rempart","Aug 27, 2024",Negotiable
Administrative Assistant,R-MAD LTD,"Pereybere, Rivière du Rempart","Aug 27, 2024",Negotiable
Digital Marketer (Full-Time),R-MAD LTD,"Port Louis, Port Louis","Aug 27, 2024",Not disclosed
Sales Admin (Full-Time),R-MAD LTD,"Port Louis, Port Louis","Aug 27, 2024",Not disclosed
